Country_Other,April16,April17,April18,April19,April20,April21,April22
Djibouti,+156,+141,0,+114,0,+99,+29
Réunion,+3,+8,+5,+1,0,+2,0
Mauritius,0,0,+1,+3,0,0,+1
Kenya,+9,+12,+16,+8,+11,+15,+7
Mayotte,+16,+12,+9,+17,0,+40,+15
Rwanda,+2,+5,+1,+3,0,+3,+3
Madagascar,+1,+6,+3,+1,0,0,0
Tanzania,+6,+53,0,+23,+84,0,+30
Somalia,0,+36,+19,+29,+73,+49,0
Uganda,0,0,0,0,+1,+5,+2
Zambia,0,+4,+5,+4,+4,+5,+4
Eritrea,0,0,+4,0,0,0,0
Sudan,0,+1,+33,0,+41,+33,0
Mozambique,+2,+3,+1,+4,0,0,+2
Ethiopia,+7,+4,+9,+3,+3,+3,+2
Malawi,0,+1,0,0,0,+1,+5
Seychelles,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,+6
South Sudan,0,0,0,0,0,0,0
