Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26
Egypt,+168,+171,+188,+112,+189,+157,+169,+232,+201,+227,+215
South Africa,+99,+178,+251,+124,+142,+165,+170,+318,+267,+141,+185
Morocco,+259,+281,+121,+170,+191,+163,+237,+122,+190,+139,+168
Algeria,+108,+150,+116,+95,+89,+93,+99,+97,+120,+129,+126
Cameroon,+148,0,+21,0,+146,0,0,+171,+96,+88,+103
Tunisia,+42,+42,+2,+13,+5,+17,+8,+9,+4,+17,+10
Ivory Coast,0,+34,+113,+46,+32,+37,+36,+52,+73,0,+73
Ghana,0,0,+193,+208,0,0,+112,0,+125,0,+271
Djibouti,+156,+141,0,+114,0,+99,+29,+12,+13,+9,+15
Niger,0,+43,+12,+9,0,+9,+5,+9,+10,+3,+12
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13,0,+3
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57
Mauritius,0,0,+1,+3,0,0,+1,+2,0,0,+1
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17,+22,+26
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26,+21
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5,+1
Togo,0,+2,+1,0,0,+2,+2,0,+2,+6,+2
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62,+46
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2,+16
Uganda,0,0,0,0,+1,+5,+2,+11,+1,0,+4
Zambia,0,+4,+5,+4,+4,+5,+4,+2,+8,0,+4
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2,0,+1
Benin,0,0,0,0,+19,0,0,0,0,0,+10
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39,+24
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19,+5,+6
Angola,0,0,+5,0,0,0,+1,0,0,0,+1
Malawi,0,+1,0,0,0,+1,+5,+10,0,0,+1
Eswatini,+1,0,+6,0,+2,+7,0,0,+5,+20,+3
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18,0,+11
CAR,0,0,0,0,0,+2,0,0,0,0,+3
South Sudan,0,0,0,0,0,0,0,0,+1,0,+1
